run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_019 290 9 70.0000 0.7-1 34.0000 12.2700 33.7000 683 17 0.958889 2009-06-12T10:20 46 583 0.222222 2009-06-14T15:00:00.000 15.7167 -15.7167 0.271498 0.287967
run_019 300 45 60.0000 0.7-1 34.0000 12.0700 33.9200 378 82 0.268222 2009-06-12T10:20 46 585 0.331111 2009-06-14T22:42:00.000 8.01645 -8.01645 0.497443 0.503064
run_019 310 44 50.0000 0.7-1 34.0000 11.7500 33.2600 369 76 0.438095 2009-06-12T10:20 47 598 0.585714 2009-06-15T01:31:40.000 5.18905 -5.18905 1.29825 1.31399
run_019 320 42 40.0000 0.7-1 34.0000 10.9739 32.8600 365 74 0.448780 2009-06-12T10:20 47 618 0.646342 2009-06-15T01:26:20.488 5.27439 -5.27439 1.43730 1.45516
run_019 330 42 30.0000 0.7-1 34.0000 9.93096 31.3043 369 76 0.511429 2009-06-12T10:20 46 646 0.685714 2009-06-15T00:49:51.429 5.87857 -5.87857 1.98491 2.00897
run_019 340 44 20.0000 0.7-1 34.0000 8.70326 28.6460 372 78 0.530000 2009-06-12T10:20 46 677 0.679070 2009-06-14T23:41:04.186 7.02139 -7.02139 2.58116 2.61171
run_019 350 45 10.0000 0.7-1 34.0000 7.22711 24.6767 378 83 0.576667 2009-06-12T10:20 46 726 0.537778 2009-06-14T22:13:54.667 8.47556 -8.47556 3.57601 3.61642
run_075 290 30 70.0000 0.7-1 34.0000 12.2200 33.6800 442 56 0.344333 2009-07-31T02:20 46 576 0.403333 2009-08-02T13:38:20.000 10.1620 -10.1620 0.459307 0.467159
run_075 300 42 60.0000 0.7-1 34.0000 12.0500 33.9600 369 76 0.384048 2009-07-31T02:20 46 580 0.588095 2009-08-02T17:33:05.714 6.24833 -6.24833 0.876462 0.887086
run_075 310 40 50.0000 0.7-1 34.0000 11.7000 33.9500 362 72 0.431750 2009-07-31T02:20 46 594 0.627500 2009-08-02T18:41:30.000 5.10800 -5.10800 1.29608 1.31259
run_075 320 39 40.0000 0.7-1 34.0000 10.9954 32.7200 359 71 0.445128 2009-07-31T02:20 47 624 0.758974 2009-08-02T18:06:21.538 5.69103 -5.69103 1.55183 1.57212
run_075 330 45 30.0000 0.7-1 34.0000 9.99500 31.3125 375 79 0.463864 2009-07-31T02:20 46 654 0.750000 2009-08-02T14:52:35.455 8.91614 -8.91614 1.73622 1.75629
run_075 340 50 20.0000 0.7-1 34.0000 8.74280 28.6660 394 91 0.493000 2009-07-31T02:20 47 689 0.724000 2009-08-02T11:20:31.200 12.4478 -12.4478 2.19857 2.22089
run_075 350 53 10.0000 0.7-1 34.0000 7.26434 24.8332 403 97 0.489811 2009-07-31T02:20 46 744 0.537736 2009-08-02T08:49:30.566 14.9657 -14.9657 2.90847 2.93630
