run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_069 350 75 10.0000 0.7-1 50.0000 8.54253 27.2568 472 136 0.351733 2009-05-15T09:02 47 862 0.456000 2009-05-17T04:47:31.200 10.3983 -10.3983 1.86956 1.88215
run_014 300 19 60.0000 0.7-1 50.0000 13.2500 33.4800 475 140 0.286316 2009-06-03T10:20 50 830 0.500000 2009-06-05T05:31:34.737 11.5905 -11.5905 0.515573 0.529701
run_014 310 76 50.0000 0.7-1 50.0000 12.0800 34.6600 475 137 0.233158 2009-06-03T09:02 47 898 0.631579 2009-06-05T02:52:07.895 14.2345 -14.2345 0.828673 0.834179
run_014 320 70 40.0000 0.7-1 50.0000 11.6440 33.7000 488 134 0.118000 2009-06-03T09:02 48 975 0.521429 2009-06-04T21:48:14.571 19.3010 -19.3010 0.586557 0.590792
run_014 330 60 30.0000 0.7-1 50.0000 10.6980 31.9633 485 141 0.0781666 2009-06-03T09:02 48 1063 0.400000 2009-06-04T17:55:24.000 23.1848 -23.1848 0.368676 0.371787
run_014 340 46 20.0000 0.7-1 50.0000 9.41000 29.7343 498 138 0.0760869 2009-06-03T07:45 48 1170 0.221739 2009-06-04T14:55:26.087 26.1865 -26.1865 0.173095 0.175008
run_014 350 46 10.0000 0.7-1 50.0000 8.46000 26.6452 498 138 0.0689130 2009-06-03T07:45 49 1275 0.100000 2009-06-04T12:16:31.304 28.8343 -28.8343 0.437938 0.442777
run_019 310 38 50.0000 0.7-1 50.0000 11.7211 33.8100 526 77 0.281579 2009-06-12T10:20 46 692 0.400000 2009-06-14T10:26:03.158 8.22263 -8.22263 0.686623 0.695840
run_019 320 54 40.0000 0.7-1 50.0000 11.3467 33.2789 459 112 0.315926 2009-06-12T10:20 47 714 0.383333 2009-06-14T10:59:37.778 7.66241 -7.66241 0.759049 0.766176
run_019 330 57 30.0000 0.7-1 50.0000 10.2688 31.9525 458 120 0.323158 2009-06-12T09:02 46 739 0.522807 2009-06-14T09:47:45.263 8.85947 -8.85947 0.675814 0.681821
run_019 340 69 20.0000 0.7-1 50.0000 9.33160 30.2941 453 125 0.328406 2009-06-12T09:02 46 784 0.697101 2009-06-14T08:04:06.087 10.5885 -10.5885 1.33300 1.34277
run_019 350 74 10.0000 0.7-1 50.0000 8.45000 27.1221 468 134 0.336757 2009-06-12T09:02 47 851 0.601351 2009-06-14T05:16:06.486 13.3882 -13.3882 2.22620 2.24139
run_075 300 4 60.0000 0.7-1 50.0000 12.2400 33.5100 700 0 0.965000 2009-07-31T02:20 47 675 0.375000 2009-08-02T01:51:00.000 9.02750 -9.02750 0.135531 0.156498
run_075 310 50 50.0000 0.7-1 50.0000 11.7050 33.6000 459 105 0.280400 2009-07-31T02:20 46 698 0.402000 2009-08-02T03:45:50.400 7.10820 -7.10820 0.751004 0.758628
run_075 320 51 40.0000 0.7-1 50.0000 11.2000 33.1024 490 121 0.291569 2009-07-31T01:02 46 732 0.780392 2009-08-02T00:46:07.059 10.1016 -10.1016 0.739670 0.747030
run_075 330 16 30.0000 0.7-1 50.0000 10.2200 31.7500 610 61 0.115625 2009-07-31T01:02 47 809 0.800000 2009-08-01T17:50:48.750 17.0269 -17.0269 0.131421 0.135731
run_075 340 5 20.0000 0.7-1 50.0000 8.88000 29.4200 650 39 0.0420000 2009-07-30T23:45 47 910 0.600000 2009-08-01T12:15:00.000 22.6300 -22.6300 0.00000 0.00000
