run sep e_members phi f lambda elon_min elon_max sw_speed_mean sw_speed_std gamma tinit rinit vinit mean_residual arrtime_earth mae_t me_t rmse_t mstd_t
run_001 290 32 70.0000 0.7-1 18.0000 12.5000 34.0600 612 58 0.289062 2009-02-01T15:37 46 483 0.100000 2009-02-04T07:00:26.250 1.18875 -1.18875 0.252187 0.256223
run_001 300 28 60.0000 0.7-1 18.0000 12.1200 35.1700 625 50 0.325000 2009-02-01T15:37 45 483 0.117857 2009-02-04T05:23:47.143 2.79964 -2.79964 0.244094 0.248573
run_001 310 27 50.0000 0.7-1 18.0000 11.3800 35.3400 627 49 0.537407 2009-02-01T15:37 45 475 0.118518 2009-02-04T04:17:22.222 3.90704 -3.90704 0.488139 0.497438
run_001 320 26 40.0000 0.7-1 18.0000 10.5446 34.2100 625 48 0.543846 2009-02-01T16:54 46 466 0.107692 2009-02-04T04:40:09.231 3.52654 -3.52654 0.524917 0.535313
run_001 330 25 30.0000 0.7-1 18.0000 9.19500 31.5750 612 43 0.444167 2009-02-01T16:54 45 455 0.216667 2009-02-04T06:27:05.000 1.74417 -1.74417 0.454385 0.464158
run_001 340 23 20.0000 0.7-1 18.0000 7.54304 27.6817 369 66 0.323478 2009-02-01T16:54 45 468 0.295652 2009-02-04T13:43:15.652 5.52565 5.52565 0.846403 0.865426
run_001 350 28 10.0000 0.7-1 18.0000 5.85250 22.1500 325 50 0.444643 2009-02-01T16:54 46 479 0.0357143 2009-02-04T17:15:32.143 9.06321 9.06321 1.40605 1.43185
run_069 270 25 90.0000 0.7-1 18.0000 12.4000 30.2100 584 46 0.474000 2009-05-15T12:54 47 429 0.108000 2009-05-18T08:25:36.000 14.6808 -14.6808 0.912556 0.931374
run_069 280 26 80.0000 0.7-1 18.0000 12.5700 32.0100 553 52 0.413846 2009-05-15T12:54 47 425 0.107692 2009-05-18T11:57:04.615 11.1558 -11.1558 1.27117 1.29635
run_069 290 28 70.0000 0.7-1 18.0000 12.4300 32.9100 550 50 0.505000 2009-05-15T12:54 47 421 0.0285714 2009-05-18T12:36:30.000 10.4989 -10.4989 0.511366 0.520750
run_069 300 20 60.0000 0.7-1 18.0000 11.9500 34.0500 550 36 0.493000 2009-05-15T12:54 46 402 0.210000 2009-05-18T12:14:30.000 10.8645 -10.8645 0.541382 0.555446
run_069 310 28 50.0000 0.7-1 18.0000 11.3500 34.2700 525 50 0.383571 2009-05-15T12:54 46 407 0.232143 2009-05-18T16:51:30.000 6.24821 -6.24821 0.479487 0.488285
run_069 320 22 40.0000 0.7-1 18.0000 10.3132 32.7300 312 41 0.440909 2009-05-15T12:54 46 418 0.145455 2009-05-18T23:41:57.273 0.746364 0.591818 0.698841 0.715286
run_069 330 24 30.0000 0.7-1 18.0000 8.95000 30.4500 312 43 0.505000 2009-05-15T12:54 45 431 0.133333 2009-05-18T22:49:15.000 0.607917 -0.287917 0.755447 0.771695
run_069 340 24 20.0000 0.7-1 18.0000 7.46500 26.4625 312 43 0.455000 2009-05-15T12:54 46 443 0.0625000 2009-05-18T21:22:10.000 1.73917 -1.73917 1.00594 1.02758
run_069 350 24 10.0000 0.7-1 18.0000 5.61750 21.2125 312 43 0.439583 2009-05-15T12:54 46 454 0.0875000 2009-05-18T20:17:05.000 2.82375 -2.82375 1.48283 1.51472
run_014 270 6 90.0000 0.7-1 18.0000 12.1200 30.4200 691 12 1.56833 2009-06-03T12:54 46 433 0.366667 2009-06-05T17:59:00.000 36.3233 -36.3233 0.469740 0.514575
run_014 280 12 80.0000 0.7-1 18.0000 12.1400 31.8400 675 21 1.43333 2009-06-03T12:54 45 390 0.700000 2009-06-05T20:14:50.000 34.0592 -34.0592 0.599298 0.625946
run_014 300 4 60.0000 0.7-1 18.0000 11.7900 33.9400 525 0 1.87000 2009-06-03T12:54 46 390 NaN 2009-06-06T09:04:00.000 21.2400 -21.2400 0.00000 NaN
run_014 320 20 40.0000 0.7-1 18.0000 10.3500 32.6475 300 36 0.380000 2009-06-03T12:54 46 406 0.200000 2009-06-07T03:09:30.000 3.14900 -3.14900 0.657228 0.674302
run_014 330 20 30.0000 0.7-1 18.0000 8.99500 30.2400 300 36 0.444000 2009-06-03T12:54 46 418 0.120000 2009-06-07T02:42:45.000 3.59600 -3.59600 0.774961 0.795093
run_014 340 20 20.0000 0.7-1 18.0000 7.38500 26.4775 300 36 0.442500 2009-06-03T12:54 46 431 0.0350000 2009-06-07T01:30:30.000 4.80050 -4.80050 1.11417 1.14311
run_014 350 22 10.0000 0.7-1 18.0000 5.55545 20.9818 306 40 0.523636 2009-06-03T12:54 46 440 0.0909091 2009-06-06T23:41:46.364 6.61227 -6.61227 1.77224 1.81395
run_019 270 26 90.0000 0.7-1 18.0000 12.1400 30.2500 581 49 0.568077 2009-06-12T12:54 46 412 0.238462 2009-06-15T09:26:41.538 19.6612 -19.6612 1.08063 1.10203
run_019 280 27 80.0000 0.7-1 18.0000 12.2000 32.0900 572 49 0.544444 2009-06-12T12:54 46 396 0.111111 2009-06-15T11:24:22.222 17.7000 -17.7000 0.899156 0.916284
